视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
锦州美食有多好吃,https://www.bilibili.com/video/BV1ux4y1H7a8,李哥我饿了,434754,407,943,42462,2208,2524
小伙在北京打工挣到钱了，回出租屋做一锅麻辣小龙虾，拌上泡面吃过瘾了,https://www.bilibili.com/video/BV1oy411B7rp,咸鱼梦想家vlog,525941,431,797,7483,167,4354
天呐，谁把我厨房蒸了,https://www.bilibili.com/video/BV1ur421F7dY,文礼记果蔬面食,1233082,79,757,3924,102,5648
没有一只能小龙虾能活着走出南昌，歪果仁恐惧的黑蛋老王赞不绝口，干饭人幸福时刻~,https://www.bilibili.com/video/BV1gZ421g7oi,老王在中国,405572,3025,6340,24028,884,1715
顾客只管窜就可以，老板要考虑的事情就很多了,https://www.bilibili.com/video/BV1uz421872y,世界美食official,947114,1465,4747,73599,3911,3655
昨天已经回本了，但是我们的压轴向日葵还没亮相呢！,https://www.bilibili.com/video/BV1cx4y1b7DV,重生之我在街边炸蘑菇,680770,45,196,36906,146,621
咸蛋黄莲蓉馅，但是粽子！,https://www.bilibili.com/video/BV1zM4m1U7zJ,世界美食欧飞手,383035,1343,1883,20106,526,2321
离谱！又贵又难吃是怎么流传几百年到今天的啊？！,https://www.bilibili.com/video/BV1Zi421Y7uv,油头四六分,299744,1512,786,33753,692,1195
屈原吃裂开了！今年这些网红粽子真的太抽象了？！,https://www.bilibili.com/video/BV15w4m1i7PJ,NBzhuoc大,342361,1517,3480,27737,477,1831
潮汕街边蚝烙，30一份你们感觉值不值！,https://www.bilibili.com/video/BV1Xs421M7i4,柒拾已伴,1116557,472,146,17930,521,505
西安街头电钻搅团，7元一碗，这做法外地小伙大开眼界,https://www.bilibili.com/video/BV1xM4m1U7B4,小阿乐吃遍中国,1363821,383,201,20318,433,757
巨简单 100%成功率 自制冰激凌,https://www.bilibili.com/video/BV1xJ4m1g7cT,山羊日志,424455,11,2216,9543,462,30634
网上很火的7个零食试吃，我以为自己在啃板砖！！,https://www.bilibili.com/video/BV1py4118725,了不起的八万二饼,309321,668,5255,26706,199,1397
高达3899的顶级米其林铁板烧，含有鲍鱼海虾牛排扇贝等顶级食材,https://www.bilibili.com/video/BV1C1421k7G5,杰诺探美食,495811,20,66,848,14,3042
将就吃 烤平菇,https://www.bilibili.com/video/BV1gD421u7mg,快乐烧烤屋屋长,317035,641,1338,27998,370,1384
人类首次记录下汉堡的习性,https://www.bilibili.com/video/BV1Sm421N712,食物星球,2673130,998,11467,211750,19224,69333
闲置电饼铛再就业，分享几个电饼铛小食谱～,https://www.bilibili.com/video/BV1mz421h7Ni,阿鱼吃什么,303839,109,326,21683,1161,9691
茶圈公认的六种垃圾茶，内行人打死都不喝，却还很多人上当受骗,https://www.bilibili.com/video/BV1RM4m1z7qU,茶人阿浩,509612,283,378,4504,296,2398
一张叶子的粽子的包法,https://www.bilibili.com/video/BV154421Q7A9,婉188,771922,415,333,26671,335,1653
【王刚探店】成都乔一乔怪味干锅，规模惊人的“苍蝇馆子”,https://www.bilibili.com/video/BV1Zy411B7oR,餐饮研究员王刚,354914,2033,3046,17034,1924,1908
据说点外卖时给老板备注“爸爸给我多来点”会有大惊喜，是真的吗,https://www.bilibili.com/video/BV19J4m1g73k,馋大鑫,406810,688,1834,11404,99,1317
又捡一块10几斤的m9和牛，看看多少人骂我不懂吃,https://www.bilibili.com/video/BV1nD421g7Nr,小文哥吃吃吃,354988,680,2103,19407,198,1149
居然有翔味的糖！这个世界终于巅成了我想要的样子！,https://www.bilibili.com/video/BV1wS411N7E8,敬汉卿,494498,868,7014,38230,1125,2308
隔着屏幕馋哭你!,https://www.bilibili.com/video/BV1jm421L7Ap,Tiger西西,268803,482,1327,54699,619,1797
夏日摆摊爆品花式水果冰粉制作教程来了。,https://www.bilibili.com/video/BV1h7421o7yT,冬梅来了哦,1120293,1,1705,6603,90,64491
又到了一周一度的国际羊肉日，把最肥的切给我！越肥越好！辣子酱油加大蒜！还得整碗羊汤面！来吧！沾满汤汁！啥也别说了这羊肉造就完了！,https://www.bilibili.com/video/BV1c4421Q72Z,达哥在上海,485078,31,88,3122,17,2290
为了吃这炸鸡，隔壁把我墙砸了【物理】,https://www.bilibili.com/video/BV1tT421e7U3,我的样子平平无奇,685529,2193,8840,35164,1376,5453
日本人为了让你把鳗鱼饭吃完有多拼,https://www.bilibili.com/video/BV1BM4m1S7Jg,在日本摸鱼的小超人,489571,270,604,47469,380,1886
这肉剔着剔着就卖了,https://www.bilibili.com/video/BV1hw4m1v7kT,左手刀鹏哥,360275,427,452,13280,519,710
【迪奥の厨房】不就是粽子吗，谁还不会包了？,https://www.bilibili.com/video/BV14m421V72S,丶沫小白,195300,215,928,10600,321,7482
表哥江南皮革厂倒闭，我把钵钵鸡一元一串随便乱卖,https://www.bilibili.com/video/BV1Ny411z7Ah,蜻园,543494,536,189,2872,109,1155
今天带冯万宁接触一下美食圈,https://www.bilibili.com/video/BV1yr421c79H,张圣叹Yo,688301,1930,3805,77544,1605,4333
用橡木珠搭配96度生命之水降度浸泡草莓，凸现的是性价比和 橡木味的变化，还挺有意思,https://www.bilibili.com/video/BV13m421L7qA,原先森茶酒屋,1244755,103,454,76596,380,9620
在上海花15块就能给一个男人带来快乐，打工人的快乐很简单,https://www.bilibili.com/video/BV1U1421k75F,小岳来了24,293991,588,6512,14020,235,1563
到点了！这顿深夜放纵餐我先替你们尝一尝,https://www.bilibili.com/video/BV1rM4m1U7jm,凉湉子的日常,426854,81,149,23205,118,3858
韩国人在中国实现西瓜自由,https://www.bilibili.com/video/BV1Qf421X7eB,韩国人攸攸一蜜达,426483,217,189,33862,59,646
见手青太疯狂了,https://www.bilibili.com/video/BV12w4m1v71H,菌贝贤哥-采蘑菇,807345,25,56,3162,19,141
60多斤的鱼买一斤骨头煲个汤，再来个小龙虾，简简单单又一餐,https://www.bilibili.com/video/BV1dn4y197rP,潮汕绿豆爽,620299,186,128,13431,167,837
水果玛格丽特：调酒师花式演绎制作一杯代表着甜蜜爱意的cocktail。,https://www.bilibili.com/video/BV1Dy411a7Nc,红斌-调酒的아저씨,5202220,992,4781,482389,3344,48781
毕业了，就很难吃到咯。,https://www.bilibili.com/video/BV1Qy411B7BX,魔鬼厨房Neo,227152,355,1660,24881,602,1889
早市上早餐吃了六七样小吃，都是几块钱的消费没压力，吃饱了再给孩子打包带点好吃的，还有便宜的水果，4块钱买了18个油桃,https://www.bilibili.com/video/BV1uw4m1i7iV,君在西安,315176,1065,756,15732,571,809
粽子,https://www.bilibili.com/video/BV1Cs421u7wo,天才小麦_,244414,547,3161,26757,2513,2968
时隔一年的爆辣蛙挑战之南京站，十分钟十只蛙！,https://www.bilibili.com/video/BV1cm421L7Pb,密子君,301897,806,2195,14697,701,713
酷酷整了一大筐！,https://www.bilibili.com/video/BV1mD421u7ZK,张醋醋Yuki,923891,13,334,4421,42,17091
如何完美地做出各种质感的番茄鸡蛋汤？清爽大片、浓稠拉丝，都给你答案【解构家常菜】西红柿鸡蛋汤/西红柿蛋花汤/番茄蛋花汤,https://www.bilibili.com/video/BV12s421M7yN,杨光_建厨师,125180,295,2902,7993,921,9137
这到底是谁发明的！！也太好吃了！！,https://www.bilibili.com/video/BV1kf421X7pg,露露美食日记,170076,61,482,6455,917,9093
挑战东北48元甜品自助！榴莲芒果3小时无限畅吃！,https://www.bilibili.com/video/BV1TZ421g7o8,花二Strange,170006,763,10878,17425,196,1566
大庆赶海，退潮后发现大水母的紫色触须，还有小河豚藏在沙中,https://www.bilibili.com/video/BV1mM4m1U7r7,大庆赶海,572579,757,833,29574,188,1936
和朋友们在家里点外卖吃夜宵，麻辣烫配上烤鸭卷饼，又罪恶又满足！～,https://www.bilibili.com/video/BV17m421V7GD,方芳的快乐生活,635099,2592,10388,37962,1017,2498
好吃！凉快！还没火！速来！（由于美食太多，所以语速极快。建议慢速播放）,https://www.bilibili.com/video/BV1iy411B7HN,一朵金花aa,140020,154,1059,11029,3377,7598
土豪炖罐＃漳州美食＃厦门美食 闽南炖罐有多豪～,https://www.bilibili.com/video/BV1A1421C7GP,耶叔的四方食事,246943,226,435,26674,705,1348
低头才能买到的烧饼！两个只要1r！？！,https://www.bilibili.com/video/BV1Vs421u7rH,贪吃小蛇呀,473207,70,87,20238,32,321
解暑又解馋，拯救你的没胃口！,https://www.bilibili.com/video/BV1Hs421T727,明天谁做东,308013,90,378,30283,172,1214
一人四餐｜蒜香牛肉粒搭配黑虎虾太绝了吧！,https://www.bilibili.com/video/BV1nt421K7u9,苏拉的低卡餐,599928,163,497,29608,679,8276
身在曹营心在汉 吃着2000块的晚餐想念20块的自助盒饭,https://www.bilibili.com/video/BV1cZ421g791,一只广宇,221294,833,5407,17809,336,1446
【盖盖外卖】买来了一直想吃的美食，结果泪流满面……,https://www.bilibili.com/video/BV1bn4y197hB,SERGEY谢尔盖,216918,1193,6384,15797,111,1123
炸鸡汉堡 摆摊教程 自己在家做也可以,https://www.bilibili.com/video/BV1iT421e7Fm,二哥爱美食,160616,68,494,13525,334,8012
梦幻粉色沙滩🎀玫瑰荔枝💗🤍嚼着吃的酸奶碗,https://www.bilibili.com/video/BV1px4y1J7XH,Red气泡苏打,350645,80,89,31804,173,2176
便宜量大还好吃！？网上很火的超大包零食测评！,https://www.bilibili.com/video/BV16z42187Vv,美美和乔治,1237276,3,1142,5851,20,37384
粽子卖完了吗？端午节星巴克员工渡劫,https://www.bilibili.com/video/BV12n4y197ew,咖啡苏晓生,528903,77,28,3406,237,380
