弹幕所在位置,弹幕内容,弹幕发布时间
00:10,"""月下飞天镜 云生结海楼""",2023-10-10 12:13:47
01:44,"""配音太强了，这癫狂又清冷的感觉""",2023-10-10 12:13:56
00:35,"""剑心（仙舟版）""",2023-10-10 12:14:32
00:49,"""许愿镜流0+1，求求米哈游了！""",2023-10-10 12:14:39
00:37,"""这里的箫声好爱""",2023-10-10 12:14:40
01:31,"""名场面打卡""",2023-10-10 12:14:50
01:35,"""这个配音 好疯 我好喜欢""",2023-10-10 12:14:51
00:50,"""刻晴:这我熟""",2023-10-10 12:15:13
01:15,"""这次音乐也太婉转流畅了""",2023-10-10 12:15:27
01:26,"""[前方高能]""",2023-10-10 12:16:03
01:25,"""云上五骁专属bgm""",2023-10-10 12:16:06
01:17,"""太好看了""",2023-10-10 12:16:26
01:53,"""哇""",2023-10-10 12:16:51
00:57,"""大保底大保底哈哈哈哈哈哈哈哈！""",2023-10-10 12:17:27
01:37,"""米哈游音乐从不失望""",2023-10-10 12:17:48
01:00,"""是二胡！他用了二胡!""",2023-10-10 12:18:12
01:47,"""摘下星星送给你～""",2023-10-10 12:18:29
01:41,"""谢谢杜老师！""",2023-10-10 12:18:51
00:06,"""月下飞天镜 云生结海楼""",2023-10-10 12:18:51
00:50,"""剑出，影随！""",2023-10-10 12:19:09
00:31,"""扭转万象""",2023-10-10 12:20:17
00:34,"""他3转2一直可以的""",2023-10-10 12:20:28
01:09,"""已故去的必如雪崩再来""",2023-10-10 12:20:50
01:11,"""各位开拓者给镜流多准备点零食""",2023-10-10 12:21:00
00:21,"""云五の小曲""",2023-10-10 12:21:43
01:45,"""冰雕是云五 有景元有镜流自己 有丹枫有应星 白珩没建模但估计有模糊的""",2023-10-10 12:21:43
01:42,"""像说书人最后的场景""",2023-10-10 12:21:59
01:28,"""bgm杀疯了！""",2023-10-10 12:22:00
01:35,"""太帅了""",2023-10-10 12:22:05
01:26,"""[前方高能]""",2023-10-10 12:22:16
01:12,"""她真好看""",2023-10-10 12:22:23
01:30,"""硬熊蹬场！""",2023-10-10 12:23:13
00:59,"""单手剑，白发，御姐音少女身材，这下不得不抽了""",2023-10-10 12:24:12
01:29,"""云五の小曲""",2023-10-10 12:25:22
