标题,描述,BV号,播放量,弹幕,评论,时长,上传时间
《崩坏：星穹铁道》知更鸟角色PV——「孤独摇摆」,"在银河中孤独摇摆，能否使一颗心免于哀伤？
若我不曾见过太阳，又怎会知道希望有羽毛和翅膀？

中文CV：
知更鸟——钱琛 / 歌：Chevy

日文CV：
知更鸟——名冢佳织 / 歌：Chevy

英文CV：
知更鸟——Alice Himora / Song vocals: Chevy

韩文CV：
知更鸟——신온유/ 노래: Chevy",BV1Am411y7iK,8513613,13870,16677,08:46,2024-05-07
《崩坏：星穹铁道》「2024星铁LIVE」演唱会官方录播完整版,浩瀚宇宙以群星谱写璀璨之歌，让我们静心聆听这回荡于银河的动人之声吧～,BV1ZH4y1V7AE,2414874,46770,8646,120:31,2024-05-06
《崩坏：星穹铁道》千星纪游PV：「假若有一双翅膀」,"假若有一双翅膀，我们便会飞向天空
——即使，注定有坠落的那一刻。

不必贪恋永恒，不必畏惧刹那。

中文CV：
知更鸟——钱琛 / 歌：Chevy

日文CV：
知更鸟——名冢佳织 / 歌：Chevy

英文CV：
知更鸟——Alice Himora / Song vocals: Chevy

韩文CV：
知更鸟——신온유/ 노래: Chevy",BV1wz421U7LZ,2813403,9376,7494,15:26,2024-05-03
《崩坏：星穹铁道》走近星穹——「知更鸟：『人生如歌』演唱会火热预售中」,"世界的旋律，是亿万生命的脉搏。
聆听每一次音符跳动，感受那律动将你环绕。
银河分崩离析，唯有音乐能使一颗心免于破碎。
歌颂生命，为世界而歌！知更鸟『人生如歌』演唱会火热预售中！
敬请收看星际和平娱乐特别节目《走近星穹》——「知更鸟：『人生如歌』演唱会火热预售中」。

中文CV：
叽米——刘北辰
星期日——徐翔",BV1cD421M7nj,2360338,8687,5186,06:52,2024-05-01
《崩坏：星穹铁道》演唱会动画CM：「演出开始前」,"群星，因你而共鸣！
2024星穹铁道演唱会将于2024年5月1日19:05进行全球同步直播，敬请期待~

帕姆小贴士：「星铁LIVE」现场检票将从17:00开始，请开拓者妥善安排出行时间。",BV1Dr421u7fQ,4953330,9729,9657,01:47,2024-04-30
《崩坏：星穹铁道》 2.2版本「等醒来再哭泣」前瞻特别节目,"《崩坏：星穹铁道》 2.2版本「等醒来再哭泣」将于2024年5月8日上线，感谢各位开拓者的支持与陪伴~

本次特别节目中的一切人物、故事、设定仅为节目包装，均与《崩坏：星穹铁道》原作无关，展示画面与奖励等均为研发中内容，非最终上线版本，请以上线版本为准。
兑换码将于4月27日23:59:59失效，各位开拓者记得尽快兑换哦~",BV1nF4m1w7tw,3130889,38042,7037,35:04,2024-04-26
《崩坏：星穹铁道》2.2版本PV：「等醒来再哭泣」,"记忆是梦的开场白，忘却是梦的谢幕礼。

中文CV：
姬子——林簌
星期日——徐翔
波提欧——彭博
知更鸟——钱琛
流萤——宋媛媛

日文CV：
姬子——田中理惠
星期日——大冢刚央
波提欧——小西克幸
知更鸟——名冢佳织
流萤——楠木灯

英文CV：
姬子——Cia Court
星期日——Griffin Puatu
波提欧——Andrew Russell
知更鸟——Alice Himora
流萤——Analesa Fisher

韩文CV：
姬子——김보나
星期日——강성우
波提欧——김단
知更鸟——신온",BV1BD421J7o1,4874956,8522,12789,10:10,2024-04-26
《崩坏：星穹铁道》走近星穹——「砂金：硬币到底在哪只手里？」,"一枚筹码，也许只有几克重，但若放到天秤之上，却有左右局势的千钧之力。筹码在赌徒的指间，如同命运的钥匙，轻轻抛起、落下，心跳如金石交击，在刹那间决算天堂与地狱。
（星际和平娱乐提醒您：珍爱生活，远离赌博。）
敬请收看星际和平娱乐特别节目《走近星穹》——「砂金：硬币到底在哪只手里？」。

中文CV：
叽米——刘北辰
真理医生——桑毓泽",BV16m411B7yW,1853482,10454,8210,06:51,2024-04-17
《崩坏：星穹铁道》砂金角色PV——「金手指」,"「在矫揉造作的背后最终大多都隐藏着什么，即便它在开始并不存在。」

中文CV：
砂金——杨超然

日文CV：
砂金——河西健吾

英文CV：
砂金——Camden Sutkowski

韩文CV：
砂金——박준원",BV12x421m7K9,5213401,20956,19160,08:59,2024-04-16
「决战！大宇宙开拓豪侠传」电影预告,"恐怖大王从天而降，人类处于危机边缘。

命运的决战一触即发，
行于开拓之命途的豪侠挺身而出。

规则，是用来打破的！

最新银河幻想特摄电影
「决战！大宇宙开拓豪侠传」
2024年4月1日全球震撼不上映。

领衔主演（排名不分先后）：
帕姆——帕姆&最终决战兵器究极超霸机动合体开拓勇者号
呜呜伯——可靠的右肩甲
叽米——优雅的左肩甲 
钟表小子——护住真心的胸甲
谛听——谛听的微笑盾牌
星穹列车——阿基维利的水果刀
制作人——制作人
3D角色组组长——3D角色组组长
战斗策划组组长——战斗策划组组长
城镇",BV1qf421o7Cu,4406670,26232,19566,14:22,2024-04-01
《崩坏：星穹铁道》走近星穹——「加拉赫：少喝饮料多喝水」,"他是治安官中最擅长调制饮品的，也是调饮师中最擅长匡扶正义的。他不仅能调制出让你眉毛倒竖的神奇饮品，还能一边旋转标准摇壶，一边将坏人抽得如陀螺般旋转！
敬请收看星际和平娱乐特别节目《走近星穹》——「加拉赫：少喝饮料多喝水」。

中文CV：
叽米——刘北辰",BV1Zu4m1T718,1484922,2742,7233,04:04,2024-03-28
《崩坏：星穹铁道》走近星穹——「黄泉：又一场雨，一 ㄋ 宀 匚 」,"「          ，            ，                      一一    ，  『  』、  『  』…  『  』。」

中文CV：
叽米——刘北辰
黑天鹅——杨梦露",BV1Y1421D7Cx,2575833,7206,8643,06:49,2024-03-27
《崩坏：星穹铁道》黄泉角色PV——「你的颜色」,"「该启程了。此世如雨而逝，终归大地，希望再见时…已是天晴。」

中文CV：
黄泉——菊花花
花火——赵爽

日文CV：
黄泉——泽城美雪
花火——上田丽奈

英文CV：
黄泉——Allegra Clark
花火——Lizzie Freeman

韩文CV：
黄泉——박지윤
花火——성예원",BV1Ri421X7sS,7966943,33664,27182,11:28,2024-03-26
《崩坏：星穹铁道》千星纪游PV：「虚谭•浮世三千一刀缭断」,"两颗行星交织着彼此悲惨的宿命，天岩户间散落着一段故去的歌谣。
那歌谣无始无终、无声无息，来自无人之口，传往无人之耳。它如是写道：

高天原万里迢迢一如出云，原乃是极乐净土天成地平。
天地变漆黑大日引动潮汐，似迁徙众神垂迹来势沄沄。
八百万祸神显世屠戮无情，怎料想无上权柄反遭窃行。
出云国折剑七万三十三柄，铸为尊护世诏刀一十二名。

其一为「真」，斩「都牟刈神」所铸，可令凡人遍观法理，解构万象再造神迹；
其二为「天」，斩「天常立尊」所铸，可令高天变作墙垣，祸津众神穿行维艰；
其三为「鸣」，斩「建御雷神」所铸",BV16m411R78H,5625619,27401,33581,16:14,2024-03-22
《崩坏：星穹铁道》动画短片：「永劫轮舞」,"两颗行星交织着彼此悲惨的宿命，围绕一轮漆黑的大日跳着永恒的轮舞。

最初，其中一颗行星孕育出了人类，他们俯首，将脚下的土地唤作「出云」；又抬头，指天上的世界为「高天原」。
于史无载的某日，「八百万神」自高天原垂迹。以神为名的恶兽使天穹倾覆、海川燃烧、大地崩毁——人们惊觉，那并非是为了统治、支配或掠夺的入侵，凶神仅为猎杀而来。

存亡之际，出云踏上「神刈」的道路，穷举国之力斩落大祸「都牟刈神」，将其兽体锻造成最初的「诏刀」。
以彼之道还施彼身，通过吟诵蕴含于刀身中的真言，持刀者便可将高天原的神业握在手中，以",BV1aC411h7e6,7129075,25288,32633,20:42,2024-03-19
