视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数
感谢大家对植物大战僵尸杂交版的支持！,https://www.bilibili.com/video/BV1ay411h74i,潜艇伟伟迷,13756812,5378,861635,1214724,24064,221476
2024毕业歌《去明天》｜bilibili×周深,https://www.bilibili.com/video/BV1cf421R72i,哔哩哔哩弹幕网,5283886,7915,66112,133780,18175,74077
狗狗打麻将已经走火入魔,https://www.bilibili.com/video/BV1iT421i7mH,边牧RR,6230628,6187,41420,486902,217439,109629
高 洁 的 雪 碧,https://www.bilibili.com/video/BV1pw4m1q7T7,小海Xhai,4320079,2504,188483,392410,50921,136948
「一系列」今年的高考祝福是……？,https://www.bilibili.com/video/BV1US411K7Gv,一数,1171359,12354,44176,111200,4076,19430
八号站台无伤速通，别怕宝贝 有我在,https://www.bilibili.com/video/BV1UD421u7Jm,虾仁不眨眼-游戏直播,6924927,2967,17951,332426,6859,109865
该来的都来了！不该来的也... 2024年7月新番导视！【泛式】,https://www.bilibili.com/video/BV1Yi421v7uE,泛式,2936428,35025,100539,232790,15990,94749
《鸣潮》共鸣者「吟霖」展示PV丨收网,https://www.bilibili.com/video/BV1hy411h7wd,鸣潮,5134654,10908,47389,170852,20045,41325
我竟然亲手把亲妈送进了公安局……,https://www.bilibili.com/video/BV1qZ421H7yG,塑料叉FOKU,2481100,1184,2257,19153,1616,5372
《原神》角色演示-「克洛琳德：烛影夜巡」,https://www.bilibili.com/video/BV1Nz421h7uh,原神,1851055,8546,58161,169689,22257,26645
罗永浩对话叶洪新：理想主义者的半山相见,https://www.bilibili.com/video/BV14m421T7t7,徕芬科技,4187794,1886,8650,173655,4604,24609
救命！2500年前的审美这么炸裂的吗？！！！,https://www.bilibili.com/video/BV1Cw4m1i7my,黑猫厨房,3156617,3976,110352,247052,4104,53608
可爱的独角兽妹妹~,https://www.bilibili.com/video/BV1zH4y1u7u8,徐大花xudahua,3268288,6134,12127,225832,3064,49578
这是一条帮助你戒烟的视频，请耐心的看完……,https://www.bilibili.com/video/BV1Jx4y1n7XW,路克纪录,6970013,2010,5435,173022,18244,65547
【自制动画】《独舞》一个人画了800小时,https://www.bilibili.com/video/BV1hT421v7yb,GYAnimation,2202283,818,259379,643624,18257,190602
国外声乐老师大实话锐评《歌手2024》第四期 REACTION,https://www.bilibili.com/video/BV1Z7421d7Sr,JKAI杰凯,1989610,74226,46714,78178,12189,11200
考前预防针？语文新题型！,https://www.bilibili.com/video/BV1Zx4y1E7DV,学过石油的语文老师,1240630,39725,61358,98981,14435,37448
《无限暖暖》2024 PlayStation发布会宣传PV,https://www.bilibili.com/video/BV18m421N7yS,无限暖暖,3086011,1245,9631,74452,21660,9686
王妈走了,https://www.bilibili.com/video/BV1kD421g76G,七颗猩猩QKXX,5684072,5895,54744,347927,9690,73543
《你是答案》vivo X bilibili｜照亮更鲜活的你,https://www.bilibili.com/video/BV1mS411N7iQ,vivo,6172323,882,4323,85728,2012,8422
要方糕，不要朋友,https://www.bilibili.com/video/BV1DZ421H7yQ,毕的二阶导,2761762,1043,7369,310887,17873,57057
圣洁女神竟是一条虫！善良主角毁灭世界！这游戏隐藏了多少逼疯人的真相？,https://www.bilibili.com/video/BV1nM4m1r7Wp,火焰三黄鸡ao,1719931,2424,47321,105887,1810,38339
【黄强强】《高考后的禁忌》,https://www.bilibili.com/video/BV1mD421u75j,黄强强_,3120486,226,1293,265837,3211,52374
河南开封50给万岁山武侠城拍一条宣传片,https://www.bilibili.com/video/BV1qi421U7Cs,小陈开拍,2100115,1184,6493,303407,3878,23285
再见了地球,https://www.bilibili.com/video/BV1ur421c7dH,凶鸭栗,2108749,662,21009,271379,3240,17344
蒸个高考试卷吃吃,https://www.bilibili.com/video/BV1Gy411b7Rj,Mima-密码,1724297,1022,6475,169802,7757,12958
假如西游记中的她们生活在现代｜跟着西游记学穿搭,https://www.bilibili.com/video/BV1sZ421W7tL,o小庄o,1916246,1907,57367,238171,8670,74888
【𝙁𝙞𝙧𝙚 𝙤𝙛 𝙇𝙤𝙫𝙚】火山挚恋,https://www.bilibili.com/video/BV1Fr421A74L,SadAndBlue,2809765,648,50856,425726,11687,166098
《Monster Hunter Wilds》PV1 - 狂野凶猛的大自然，袭来,https://www.bilibili.com/video/BV1mM4m167zU,CapcomAsia,999129,3780,19630,46040,81342,11034
大儿童的大玩具！我又快乐了！,https://www.bilibili.com/video/BV1ai421U7RC,拉宏桑,1896249,402,728,11324,367,2664
