视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,期数
【星穹铁道生日会】寰宇记书,https://www.bilibili.com/video/BV19D421J7dW,心碎奈奈,5921274,68130,2632453,1427081,134979,1212315,267
别再说李白骗你们了！和有山爬庐山，暴雨中的瀑布【互联网脚替06】,https://www.bilibili.com/video/BV1gw4m1C7iK,超Carry的柴西,6715577,29715,264938,375426,37789,91522,267
我收容了MC世界的所有珍稀生物！！！,https://www.bilibili.com/video/BV1SD421T7Sn,与山0v0,6305840,12649,289528,392740,7031,219102,267
这是一支你看过后能快速止痒的视频！,https://www.bilibili.com/video/BV17T4211789,喜仔的世界,4861385,477,2373,69965,2317,7413,267
“大麻合法化”2年后，金三角现在什么样？【南洋大宝荐:泰国01】,https://www.bilibili.com/video/BV1fr421M7y7,食贫道,3578783,54484,296655,279717,66338,80738,267
《崩坏：星穹铁道》演唱会动画CM：「演出开始前」,https://www.bilibili.com/video/BV1Dr421u7fQ,崩坏星穹铁道,4941981,9724,192439,447110,70614,147585,267
SEVENTEEN 'MAESTRO' Official MV,https://www.bilibili.com/video/BV1Wr421u7iH,SEVENTEEN,3572769,43550,140615,225736,97860,105992,267
【不止游戏】令人震撼的恢弘奇观——佩特拉古城,https://www.bilibili.com/video/BV1hf421S7tJ,森纳映画,1551650,12368,265321,210654,12449,77163,267
⚡俺是东京嘞 东京打工妹⚡,https://www.bilibili.com/video/BV1qm421s7MR,马小花儿,3489917,2719,180180,204318,50497,120443,267
【星穹铁道生日会】王之一桶,https://www.bilibili.com/video/BV1Dx4y1z7EF,-麦粒太太-Ver-,3013462,12432,2015087,1099032,41604,903509,267
苦练画画多年，为的就是这一刻,https://www.bilibili.com/video/BV1RT421C7ZC,叶无趣,6241055,17044,84171,478193,34998,89155,267
《送给博士的一份惊喜》,https://www.bilibili.com/video/BV18J4m1n71Q,明日方舟,2425770,4929,74585,211026,31755,61110,267
当低情商朋友来到家里遇到低情商老妈,https://www.bilibili.com/video/BV1Rb421h7zb,真子日记,5023221,6666,46245,542328,40507,46045,267
【Marcin】 当NBA仅雇用一名吉他手进行中场表演,https://www.bilibili.com/video/BV18C411H7Yn,Marcin_Official,4680402,3699,148723,642111,42704,158166,267
你好，我有一个《帽衫》超可爱鬼畜原创儿歌,https://www.bilibili.com/video/BV14C411n7xx,音乐人王搏,6341581,1160,49936,215743,55651,95599,267
现象级爆款！年度销冠王！全网狂赞的新《变形金刚》把我看嗨了,https://www.bilibili.com/video/BV1st421A7vj,努力的Lorre,2575463,2652,42028,124983,5191,31149,267
下集想看王妈和谁互换灵魂！,https://www.bilibili.com/video/BV1bf421S7mB,七颗猩猩QKXX,8422495,8737,61119,511649,21371,81961,267
「终末的赦祷颂-演绎版」：《原神》「光与影的诀别」MV,https://www.bilibili.com/video/BV1Lr42137pp,原神,2211941,2516,47648,132078,10419,29321,267
【猛男版】晚安大小姐，不睡觉的话...,https://www.bilibili.com/video/BV1Xp421S7zr,猛男舞团IconX,4525775,1696,39328,541867,36043,47675,267
深夜敲up主家的门！喊他们立刻出门旅游！结果居然……,https://www.bilibili.com/video/BV1nx4y1679f,宝剑嫂,8944836,10902,205019,373320,25535,206752,267
中国的方言有多美,https://www.bilibili.com/video/BV1im41117vg,真的范大山,2175663,7106,43316,312316,14148,87093,267
辣死啦~~~~~,https://www.bilibili.com/video/BV1yx4y1B7Jd,杜海皇,4814876,15711,71608,216663,3047,62651,267
【暗区突围版本PV】代理人：深渊迫近,https://www.bilibili.com/video/BV1os421N7g1,暗区突围,2834020,4495,17555,126760,11046,74752,267
女童穿暴露内衣当车模，孩子变成色情表情包，这些文化正在培养性侵犯！【儿童防性侵计划04】,https://www.bilibili.com/video/BV1Hr421g7H7,王小七Fire,2393849,8716,138638,244354,9769,37845,267
100人公司转椅逃亡赛，胜者瓜分5万元！影视飓风破产团建4.0,https://www.bilibili.com/video/BV11i42117g7,飓多多StormCrew,6893721,4853,127514,265325,8760,107491,267
《 天 价 水 果 》第八期,https://www.bilibili.com/video/BV1ZE421L7rV,记录生活的蛋黄派,5104110,9253,81847,454807,3718,24907,267
【硬核科普】从零开始认识显卡,https://www.bilibili.com/video/BV1xE421j7Uv,硬件茶谈,2753398,6843,196801,279241,17220,185548,267
（告 诉 我 游 戏 的 真 谛 到 底 是 什 么 ）,https://www.bilibili.com/video/BV1WF4m1w7Tj,星有野,5952047,6441,232421,730875,37090,205607,267
传说中的秦王照骨镜原来真的存在！,https://www.bilibili.com/video/BV1vr421g7J9,南翔不爱吃饭,5054537,4867,152364,256358,5235,95009,267
在“贫穷”的尼泊尔探访世界最危险的机场｜百国旅行第21国-尼泊尔（3）,https://www.bilibili.com/video/BV17i421m7jm,蕾儿乔什看世界,871208,8061,39854,42137,3849,8101,267
你的效果不是破坏我的尤贝尔？【水无月菌】,https://www.bilibili.com/video/BV1Tp421D7wQ,水无月菌,2583653,6185,104449,179545,13524,33465,267
学习航母阻拦索停车，这小车大梁受得了吗？,https://www.bilibili.com/video/BV1Yp421S7Lj,洞洞无双,3083486,3224,87975,483687,6060,59457,267
华为Pura70能效分析：架构进步很大！,https://www.bilibili.com/video/BV1az421D7Fk,极客湾Geekerwan,1595991,14129,55591,105019,8394,14209,267
《真正の海底捞》,https://www.bilibili.com/video/BV1ii42117SS,伤心欲茄222,3800015,3390,16345,503827,23009,31732,267
《最浪漫的学科》,https://www.bilibili.com/video/BV11M4m1f7ss,嘞是唐孃孃,1792189,357,2299,260178,3440,16875,267
透光率100%！我们打造了一把看不见的剑！,https://www.bilibili.com/video/BV1Yx4y1672M,剑客范十三,3690014,4190,7090,143044,1213,20679,267
我上班时的精神状态,https://www.bilibili.com/video/BV1aZ421n7pQ,是老胡没错,1502723,2676,15137,94629,10483,7932,267
在外国“公知文”里，我们个个都是中国超人？【毒舌的南瓜】,https://www.bilibili.com/video/BV1Yx4y1B7sX,毒舌的南瓜,5122858,47315,27844,235305,12796,47619,267
[第一人称] 在西安，你就能拥有时间魔法！,https://www.bilibili.com/video/BV1bE421j74h,不自由摄影师winga,2344622,1741,25192,74143,6927,15658,267
5个运镜转场，秒出大片就靠它！,https://www.bilibili.com/video/BV1wZ421J78r,夸利亚Qualia,1335179,191,9488,71752,3454,47634,267
