视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,期数
巴黎圣母院遭遇严重火灾损失惨重 法国总统马克龙含泪宣布重建,https://www.bilibili.com/video/BV1nb411j7Dc,央视网,809342,4459,1996,11942,3043,3404,4
巴黎圣母院重建，《刺客信条》或将提供参考,https://www.bilibili.com/video/BV1tb411j7Rq,观察者网,784424,1235,2405,18408,6679,5710,4
体验在印度最大的贫民窟生活一天,https://www.bilibili.com/video/BV1Pb411j7dE,20岁了还没去过星巴克,4757436,30063,134406,210529,25187,30268,4
【城市拟人】《江山行歌》排骨教主/银临/winky诗/不才/三无MarBlue/KBShinya,https://www.bilibili.com/video/BV1Hb411K771,共青团中央,1722799,27597,119277,148362,19343,113114,4
龙头烧烤器,https://www.bilibili.com/video/BV1zb411j7Lb,手工耿,3289663,10382,76593,140617,29224,18394,4
【央视段子手】朱广权：我就是要用rap播新闻！,https://www.bilibili.com/video/BV1Hb411K77s,鋃月,4302426,12532,200420,311629,49376,158692,4
华为P30天文望远镜试用，月亮上的陨石坑到底有没有造假,https://www.bilibili.com/video/BV11b411j7to,小狼TOWER,1839663,11199,29834,50480,19070,18659,4
什么鬼套路：LOL史上最强回血套路  万毒归宗！！！,https://www.bilibili.com/video/BV1cb411j7JQ,点滴菌,7857939,24130,381043,308955,93141,186150,4
【喵会长】妹子竟被逼着翻唱保加利亚妖王！⁄(⁄ ⁄•⁄ω⁄•⁄ ⁄)⁄！,https://www.bilibili.com/video/BV1vb411M79s,隔壁班的喵会长,1978889,8862,136042,267986,12999,53717,4
一斤土鸡，一斤黑毛猪，大sao吃吊锅配大蒜，老板都呆了，真过瘾,https://www.bilibili.com/video/BV1Hb411j7Wg,徐大sao,1394661,6129,10913,25100,875,1513,4
狂野牛仔老番茄,https://www.bilibili.com/video/BV1Kb411M7mB,老番茄,3375501,13596,36441,84875,1741,15720,4
【up主变形记】看6位叛逆Up主如何在农村改造，重新做人！,https://www.bilibili.com/video/BV1gb41157q8,力元君,3540249,7612,59659,129917,6304,1091,4
猫中毒太深，主人为其运功疗伤。白胖！你能正常点吗？,https://www.bilibili.com/video/BV1ub41157D1,白胖过来,3323937,5491,80249,153494,36801,36184,4
