视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,期数
耗时一年《火影好声音》完整版,https://www.bilibili.com/video/BV16r421b77C,白小纯2019,4675494,18128,486715,525901,92975,232566,263
「决战！大宇宙开拓豪侠传」电影预告,https://www.bilibili.com/video/BV1qf421o7Cu,崩坏星穹铁道,4399328,26215,191716,464320,137987,91271,263
矛盾在这一刻达到了顶峰,https://www.bilibili.com/video/BV1zH4y1H7va,逗比的雀巢,12587358,11395,278519,722768,41254,132824,263
向校园欺凌说“不”,https://www.bilibili.com/video/BV1Rt421g7mk,脱缰凯Kk,6280824,10466,182471,486130,4944,113904,263
谁，是中国第一个累死的天子？,https://www.bilibili.com/video/BV1Mm411r7hs,木鱼水心,4731672,6212,118669,351589,4402,66253,263
我又一次到达了那个港口，不过这一次…,https://www.bilibili.com/video/BV1PK421Y7oh,阿猪米德,4873362,5188,219716,378408,40253,148330,263
我买了小米SU7！,https://www.bilibili.com/video/BV1XJ4m177SN,极速拍档-NANA,5330973,28091,71232,188776,56599,24995,263
（相遇了！但是相遇的是 ... ）,https://www.bilibili.com/video/BV1xK421h7bn,星有野,6047710,5544,113225,446468,11003,81246,263
什么组织能在苏联和克格勃斗法？（下）【神奇组织18】,https://www.bilibili.com/video/BV1FC411L7Cq,小约翰可汗,4512273,28869,131960,238042,7137,42464,263
我要给少爷打一辈子工！,https://www.bilibili.com/video/BV1em411r7aD,小鸡词典,5694493,1565,21653,398989,2052,22278,263
【罗翔】年轻的时候我很喜欢过愚人节，直到后来……,https://www.bilibili.com/video/BV1yK421a7gW,罗翔说刑法,2824149,13930,66245,291719,11012,36615,263
百鬼开道！国风仙诡新游《代号：界》8分钟实机首曝,https://www.bilibili.com/video/BV1cj42197dw,代号界,4824498,8265,30045,95192,18161,33620,263
偷子（3）,https://www.bilibili.com/video/BV1nZ421B7sF,小潮院长,13269243,32647,221074,475366,10856,208258,263
评分3.7！究极食屎鸿篇巨著！当up主十年只为吐槽这部动画！【泛式】,https://www.bilibili.com/video/BV1or421t7CE,泛式,2920552,21283,118783,237750,14014,41843,263
芬兰家人第一次来海南，刚出机场就被热带景色惊呆直呼哇塞！三亚美景疯狂拍照！狂炫海鲜自助到店铺打烊！,https://www.bilibili.com/video/BV1zf421Z7Kd,雨琪在芬兰,1944170,13655,131519,157400,1217,17184,263
「2024明日方舟音律联觉-不觅浪尘」先导预告公开,https://www.bilibili.com/video/BV1Cx421S7w4,明日方舟,1616388,2054,67397,146699,40261,41068,263
宇宙内核的第九艺术，星际拓荒在此落幕【Outer Wilds】,https://www.bilibili.com/video/BV1LH4y1n7N7,原野郎中,1576760,11367,192197,171691,9597,85713,263
《鸣潮》特别通讯动画 | 无音区,https://www.bilibili.com/video/BV1uq421P7B5,鸣潮,3718961,2847,27822,188196,13201,23421,263
评分9.0！难说再见！宫崎骏新作《你想活出怎样的人生》Day1影评！,https://www.bilibili.com/video/BV1fZ421v75q,瓶子君152,2594844,3548,74335,171821,31904,39032,263
【短的发布会】友商面前21.59万元起！小米SU7外观性能选装件全部对标保时捷,https://www.bilibili.com/video/BV1SZ421q7sc,短的发布会,2317598,5511,11613,87736,13387,8136,263
黄泉教你三秒烧鸡,https://www.bilibili.com/video/BV1T1421U78g,特效小哥studio,2464993,940,53530,159695,6782,28533,263
相亲对象进精神病院 父母的“为我好”究竟是什么,https://www.bilibili.com/video/BV1Pp42127HH,知名相声演员BBBBB大王,2207936,8141,102686,194869,30119,39277,263
【阿斗】3000万成本斩获近8亿票房！口碑票房双逆袭，名场面无数的小成本黑马喜剧《无名之辈》,https://www.bilibili.com/video/BV1BD421W7FD,阿斗归来了,4110157,11095,38657,133801,3026,19218,263
那就向你展示 我的全部,https://www.bilibili.com/video/BV1qm411r7JP,魔改丶老K,2365503,2325,68041,218799,14043,37191,263
助力构建正确的爱情观，60帧高码重制臻享版，评分9.1的爱情电影《怦然心动》,https://www.bilibili.com/video/BV1SZ421t7JL,顾我电影,7398633,9165,53931,293525,13145,136441,263
【手绘逐帧meme】一键三连变成女孩子有多可爱！❤️,https://www.bilibili.com/video/BV1TK421Y78b,略nd,3458370,1472,405193,555158,17153,319062,263
探秘中国排名第一超市，没想到被老板当场抓包…,https://www.bilibili.com/video/BV1mx4y127FQ,盗月社食遇记,3597156,7817,36425,183995,18331,17246,263
如何把五千年的东方文化装进一个盒子里？,https://www.bilibili.com/video/BV1Br42147ZA,南翔不爱吃饭,19201402,13201,632794,709472,13224,562586,263
《永劫无间》丨新武器【手】实机演示,https://www.bilibili.com/video/BV1eD421W7aW,永劫无间官方,2274553,2323,8406,125400,44063,11165,263
《重生之我在偶像剧里当炮灰》,https://www.bilibili.com/video/BV1nJ4m157bx,七颗猩猩QKXX,8522673,2180,11575,361737,8612,44494,263
美国丈母娘第一次来杭州，激动到忍不住哭了：天哪！太好看了,https://www.bilibili.com/video/BV1sx421D76G,田纳西Jay和Ari,2272406,11901,73625,137679,4289,19372,263
各地的硬核食物,https://www.bilibili.com/video/BV1qC411t7BB,粤知一二,4571091,10328,6549,327382,5457,34620,263
梗指南首次露脸？！一个机器人终于决定出镜了……【梗指南】,https://www.bilibili.com/video/BV1DA4m1A7wS,梗指南,3181181,4644,7650,199733,1515,31033,263
BABYMONSTER - ‘SHEESH’ MV,https://www.bilibili.com/video/BV1Jx4y1m7m9,BABYMONSTER_YG,4164411,14796,37315,121279,40793,68716,263
历时60天，我们造了一艘空天母舰，科幻进入现实-飞行航母,https://www.bilibili.com/video/BV1vf421o7kF,魔界造物,3421420,6228,105030,249614,5646,70972,263
当我试图花50000块，找人重做童年小游戏后。。。。,https://www.bilibili.com/video/BV1zC411L7ko,卡子哥Game,2708203,980,55562,359179,978,32041,263
【CF手游 X 邪神军工】我的武器上线cfm了？！——插排双模式手枪,https://www.bilibili.com/video/BV1eJ4m1L7Mk,邪神_Karasu_,2337205,103178,2203,215820,1836,16767,263
古典舞的“随机舞蹈”你见过吗？,https://www.bilibili.com/video/BV1hr421b75e,金刚舞蹈,2994956,2348,41592,204286,12675,84973,263
永 动 闹 钟,https://www.bilibili.com/video/BV1gJ4m1573z,被风吹乱的发型,1747958,804,8461,190485,16830,20650,263
【四大名著末日版】唐僧大战丧尸！,https://www.bilibili.com/video/BV1HJ4m1j7mG,三木刃,1203107,979,5682,94720,4870,14760,263
