视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,期数
成都6元一份的酱香饼，猜猜在西班牙能卖到多少？,https://www.bilibili.com/video/BV1W2421P7Cr,西班牙陈挺,5209995,4055,19878,488919,3850,76720,262
【王心凌x仙境传说:爱如初见】国服品牌TVC《爱如初见》上线!,https://www.bilibili.com/video/BV1v6421F7Yy,仙境传说-爱如初见RO,3157508,1419,7740,77641,2266,8476,262
我在7万人面前求婚啦 ！Taylor Swift演唱会现场求婚！,https://www.bilibili.com/video/BV17x421k719,Upspeed盛嘉成,2722461,8803,208598,212290,11329,55164,262
螺钿象棋,https://www.bilibili.com/video/BV1Rf421d7WW,归乡人山白,2931997,9066,238604,559676,12291,64784,262
学会是不是就不用去甘肃啦？,https://www.bilibili.com/video/BV1r1421Q73G,Tiger西西,10398453,3137,20280,549321,10406,44795,262
《归龙潮》点映测试实机PV | 新片开机，以身入局！,https://www.bilibili.com/video/BV1Gj42197mS,归龙潮,2727811,1241,30144,57035,7538,20478,262
在手机上玩PC游戏！甚至能玩2077？彻底榨干8Gen3！,https://www.bilibili.com/video/BV1jr421h7in,极客湾Geekerwan,1553440,8328,44883,96954,18853,33638,262
下次拍照，记得把前辈搬出来～,https://www.bilibili.com/video/BV1xx421k7xK,何大爷课堂,5415124,656,7881,534280,4402,83565,262
【猛男版】Bling-Bang-Bang-Born,https://www.bilibili.com/video/BV1iu4m1T7u3,猛男舞团IconX,2201403,785,69023,263823,11478,58573,262
在中国铁路再次上演《你的名字》名场面,https://www.bilibili.com/video/BV1CF4m1F7k7,Shyo_,3956937,6048,237889,437242,53988,202056,262
超难惊变生存「最终生还者」第一期!!？,https://www.bilibili.com/video/BV1HH4y1p7X7,马里奥红叔,2911277,7884,59027,226144,1982,53924,262
不敢想坏坏的花火有多可爱呢？,https://www.bilibili.com/video/BV1LF4m1F7ke,河野华,3656066,1599,117873,347563,15792,106195,262
欧美纷纷放弃全面电动化，中国电车点错科技树？【阿Test正经比比】,https://www.bilibili.com/video/BV1KJ4m177xQ,阿Test正经比比,1980208,14401,11493,51275,6375,13596,262
¥80 拼多多“龙泉”剑 VS ¥10000 正宗龙泉剑，暴力对砍，谁会赢？,https://www.bilibili.com/video/BV12i421X7Ld,贪玩歌姬小宁子,2918318,8418,11722,44899,2557,15858,262
我是如何通过自己的努力把工作搞丢的,https://www.bilibili.com/video/BV1s1421D7Jw,乡村教师日记,2610805,2592,34622,90483,1394,5233,262
《野史》（这教材就离谱25.0）,https://www.bilibili.com/video/BV1Y2421P7mw,釋明空先輩,3409928,6728,28937,368375,39955,136946,262
《女神异闻录：夜幕魅影》公测OP动画全球首曝！,https://www.bilibili.com/video/BV1xK421v7wW,女神异闻录夜幕魅影,3468342,702,17767,63264,14977,20269,262
【硬核科普】一张图片坑害了一代人！| 腰不好怎么睡？,https://www.bilibili.com/video/BV1MD421L7oT,兔叭咯,2194109,4666,31237,115125,43150,38144,262
ILLIT 'Magnetic' Official MV,https://www.bilibili.com/video/BV12r421t7nu,ILLIT,5636110,14122,41449,170168,99745,105144,262
【阿斗】因题材敏感封存3年！犯罪天才在线教学做假钞，这部电影拿奖拿到手软！《无双》,https://www.bilibili.com/video/BV1Xx421k7Dd,阿斗归来了,1936011,9313,34408,82250,1823,10459,262
中国创业者的梦，一年销售额冲破30亿,https://www.bilibili.com/video/BV11x421k7Tr,徕芬科技,2296590,1368,5193,84819,3971,12448,262
进 击 的 海 贼 ！！！,https://www.bilibili.com/video/BV14f421Z7XG,-夏秋冬-,1560149,2079,81792,176578,27570,42968,262
北漂二十年，国家南水北调工程专业总师，他花100万买了一辆国产车【寻找·仰望车主 飘哥】,https://www.bilibili.com/video/BV1MC411t7YB,大象放映室,1425200,1380,5090,17423,1479,3194,262
千 万 别 去 沙 漠 看 银 河 ！,https://www.bilibili.com/video/BV1Ux421k7We,期末77,923546,3391,21222,64236,7074,20206,262
【毕导】为什么你的耳朵能听出冷水和热水的区别？进来测听力了！,https://www.bilibili.com/video/BV1GH4y1p7vE,毕导,2417258,12866,78221,212080,14096,36358,262
这是什么？摩尔纹。,https://www.bilibili.com/video/BV1uA4m1A73x,影视飓风,3753427,5376,51334,219281,9376,48047,262
《让子弹飞》10万字终极解读：剧情暗线！细恐隐喻！删减剧情！高能细节全揭秘！,https://www.bilibili.com/video/BV1Vf421Z729,郭云神奇,3054898,23637,116782,203412,15779,146156,262
我说我很享受自己一个人，其实是因为我知道幸福与我无关,https://www.bilibili.com/video/BV1gj421d777,大圆哥_,4155589,4322,54864,195754,2853,26948,262
【MrBeast官方】我在一个废弃的城市里活了7天,https://www.bilibili.com/video/BV1ix4y127ne,MrBeast官方账号,4951218,8112,34831,277847,4992,131937,262
英伦风情留学体验+1！伦敦偷子可真行，拿我冲业绩了啊,https://www.bilibili.com/video/BV17F4m1F75g,王骁Albert,1241311,8778,44342,95606,9445,7761,262
【火兰短报07】老牌俱乐部双线溃败，职业比赛黑客入侵，,https://www.bilibili.com/video/BV15f421Z7tG,火兰朋克,1012799,4794,15163,43056,3179,4593,262
这年头，谁还去染自己真发啊？,https://www.bilibili.com/video/BV1n1421Q7Am,晓观队长,1604545,1789,20716,68990,3110,53439,262
《可怜的东西》横扫奥斯卡等各大奖项，我为什么直接给它零分【影评人毛尖】,https://www.bilibili.com/video/BV1oH4y1H7i2,影评人毛尖,2721600,4591,30132,211390,8783,42919,262
500宝牛肉粒做成牛排，是什么感觉,https://www.bilibili.com/video/BV1yx421S7g2,大伟投食记官方账号,3353922,1720,4980,278463,2011,20763,262
