视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,期数
北京师范大学 陈志新 社会科学概论 第01讲 序言,https://www.bilibili.com/video/BV1zf421Z7F8,陈志新bnu,5286740,60846,489706,812134,36941,331743,262
在冰窟窿里解读《白雪歌送武判官归京》，代入感很强！,https://www.bilibili.com/video/BV1gF4m1F79V,有山先生,4261783,8385,71840,196272,6212,24686,262
我的中国绿卡被注销了!,https://www.bilibili.com/video/BV1jm421n7yJ,李格Greg,10629618,13926,61868,581410,3367,170107,262
《崩坏：星穹铁道》千星纪游PV：「虚谭•浮世三千一刀缭断」,https://www.bilibili.com/video/BV16m411R78H,崩坏星穹铁道,5611679,27380,241680,419902,128428,126638,262
《重生之我在霸总短剧里当保姆5》,https://www.bilibili.com/video/BV1Eu4m1u7tu,七颗猩猩QKXX,11337061,8369,38352,554397,33381,114232,262
什么组织能在苏联和克格勃斗法？（上）【神奇组织17】,https://www.bilibili.com/video/BV1m1421Q7Ee,小约翰可汗,6063434,27794,151494,281040,11842,58562,262
眼见不一定为实。,https://www.bilibili.com/video/BV1zJ4m177ND,脱缰凯Kk,5058391,3735,34424,261783,2541,68351,262
我在大山里认识的那个12岁的孩子，发现他突然就不可爱了,https://www.bilibili.com/video/BV1Pr42187VD,我是凡人繁星,5591885,3855,439804,879870,6366,85573,262
《 加 勒 比 海 鹅 》,https://www.bilibili.com/video/BV1VH4y1W7Gg,维C动物园-,7910136,6608,71396,897305,54421,231534,262
酸死啦~~~~~,https://www.bilibili.com/video/BV1NK421472R,杜海皇,6668815,17850,98073,250612,6042,100286,262
《二重螺旋》技术性测试PV|旋转阿特拉西亚,https://www.bilibili.com/video/BV1Eu4m1T7Tj,二重螺旋,1985164,1682,20101,57023,26302,11021,262
【我的章鱼老师】这只章鱼告诉我们，短暂的一生，爽快地活！,https://www.bilibili.com/video/BV1Vf421Z7Qj,流心影者,2517742,9959,68880,284498,23301,96992,262
爆肝1个月！我还原了青青草原！,https://www.bilibili.com/video/BV1XH4y1n77E,李铁盒的游戏笔记,2506476,6098,334288,291072,11815,94807,262
