视频标题,视频地址,作者,播放数,弹幕数,投币数,点赞数,分享数,收藏数,期数
⚡ 在 5:20 睡 觉 13:14 准 时 起 ！！⚡,https://www.bilibili.com/video/BV1Mx4y1Y7pJ,学姐圆,20824190,14982,702121,1278001,171282,806029,264
【何同学】不用电，你能把一张A4纸扔多远？,https://www.bilibili.com/video/BV1cm42177xT,老师好我叫何同学,9322530,13011,153591,415986,13250,120151,264
不装了！彻底摆烂！2024年1月新番完结吐槽！【泛式】,https://www.bilibili.com/video/BV1ND421s7Wh,泛式,4707247,14253,173707,388462,13683,98329,264
俺是河南嘞！河南洛阳嘞【5：20AM】阿梓,https://www.bilibili.com/video/BV1dZ421q7tb,阿梓从小就很可爱,5668665,3833,102660,189034,65025,110159,264
《蔚蓝档案The Animation》第1话：阿拜多斯高等学院停办对策委员会,https://www.bilibili.com/video/BV1cZ421B7EF,蔚蓝档案,2296231,34945,131592,183387,45469,109231,264
谁是纳粹的石油杀手？【硬核狠人65】,https://www.bilibili.com/video/BV13K421Y7GQ,小约翰可汗,4704534,25797,128259,263449,5963,43842,264
妈妈：我一辈子都很辛苦，但从没委屈过…,https://www.bilibili.com/video/BV13p421y7iv,小鹿Lawrence,3900564,2295,20528,80224,1877,14768,264
挑战花光领导的所有工资！,https://www.bilibili.com/video/BV1o1421m7Kn,阮阮是个天才7,3486433,32518,153900,225049,3488,93257,264
小米SU7，全国首撞！,https://www.bilibili.com/video/BV1PE421u7UV,堂主撩車,10755870,60296,356367,462899,58665,93747,264
《重生之我在霸总短剧里当保姆8》,https://www.bilibili.com/video/BV1uE42137Kr,七颗猩猩QKXX,11036819,5595,25200,445400,16012,98559,264
“我在5:20睡觉，下课铃响准时醒”,https://www.bilibili.com/video/BV1ZF4m1K7qo,纽毕斯,2392947,1106,141644,295952,26008,95690,264
《崩坏：星穹铁道》星旅一瞬：「命运从未公平，但……」,https://www.bilibili.com/video/BV1VH4y1M7t5,帕姆的收藏夹,2709199,3641,76724,254610,27773,90760,264
我服了！小米SU7这续航也太……,https://www.bilibili.com/video/BV1Mx421S71B,大鹏快开车,2491931,13010,74265,138801,14620,18487,264
芯片放大几万倍，你会看到什么？,https://www.bilibili.com/video/BV17F4m1T7M2,影视飓风,4090938,13367,156457,362177,18391,78952,264
暴力拆解游戏数据！揭秘《只狼》只有开发者才知道的秘密,https://www.bilibili.com/video/BV1Gf421o792,离谱的东仔,3300521,4211,8944,188497,5808,25637,264
一日和三餐,https://www.bilibili.com/video/BV1xq421w7m3,维C动物园-,1674215,981,3252,91715,4616,10730,264
100人公司蒙眼抓人，胜者瓜分4万元！影视飓风破产团建3.0,https://www.bilibili.com/video/BV1xq421w7dn,飓多多StormCrew,5809848,6011,121817,335993,10802,93360,264
辞职创业6年，极速拍档经历了什么？,https://www.bilibili.com/video/BV1o1421m7C9,极速拍档,1820557,8834,62623,106844,4224,16765,264
芬兰家人第一次在海南狂吃脆皮烤乳猪海鲜大餐惊呼太香啦！横扫夜市买买买！离开中国最后一天感动流泪！,https://www.bilibili.com/video/BV13x421S7re,雨琪在芬兰,1685824,12536,84262,122333,1076,12463,264
《明日方舟》SideStory「巴别塔」活动宣传PV,https://www.bilibili.com/video/BV1Jp421y72e,明日方舟,2743379,10914,59118,156911,55588,27890,264
《谢天谢帝》官方MV 诺米么lodmemo,https://www.bilibili.com/video/BV1eA4m1F7LC,诺米么lodmemo126,4261808,3652,40450,173182,18196,97307,264
《涅槃》,https://www.bilibili.com/video/BV1RA4m1A78u,锌之助吖,1712546,1296,114911,275623,12931,112815,264
开春了！小朋友们注意卫生！,https://www.bilibili.com/video/BV12p421y71K,脱缰凯Kk,6616280,4285,13710,300254,1996,72447,264
我在韩国花7000租到了韩剧里韩国财阀的家,https://www.bilibili.com/video/BV1EF4m1T78N,知名相声演员BBBBB大王,3049153,10271,50064,168971,5215,19835,264
偷的是我家啊！,https://www.bilibili.com/video/BV1Bm421779V,凶鸭栗,4802204,1266,25497,554583,17654,59505,264
霸总的她回来了！,https://www.bilibili.com/video/BV1Am411B7UQ,派小轩,3028522,1427,8174,225530,2384,10911,264
结婚4年，我们又做回了同学…,https://www.bilibili.com/video/BV1gC411L7Q5,狂阿弥_,2507578,3567,77399,106917,16778,32947,264
【warma】诶，你有没有听见花在说话？,https://www.bilibili.com/video/BV1PZ421q7VF,Warma,2756247,2279,55915,204215,5434,58023,264
挑战把豹纹染在头上！没想到居然…,https://www.bilibili.com/video/BV1hH4y1J7HJ,叫我22就好啦,1927703,304,3166,322207,3292,29297,264
【逆水寒x杨丽萍】春日浪漫雀恋和鸣，江湖再现最美舞台《雀之恋》,https://www.bilibili.com/video/BV1d1421m7DE,舞蹈家杨丽萍,1202630,1255,18393,36569,6321,18650,264
大学生第一次出国，弟弟：下次可以不和3个姐姐出门吗？,https://www.bilibili.com/video/BV1am41167pK,超Carry的柴西,2895477,5595,24632,79749,4238,19322,264
黑熊精入职记,https://www.bilibili.com/video/BV1Ar4214742,-显眼宝-,2934187,1619,19675,270405,13778,17459,264
就这样的经历 谁来都得上头！,https://www.bilibili.com/video/BV1Jm421E751,大力仑爱吃菠菜,5240689,4896,83956,587161,34190,74892,264
从《三生三世》到《花间令》：配平诅咒如何腐蚀女主灵魂？劲草变桃花，画皮不画骨。,https://www.bilibili.com/video/BV17m411z7wa,惜我余生,3919536,6911,56382,227498,7111,45088,264
终于帮“道上大哥”们办完事儿了，再次见到他们 我的待遇都不一样了,https://www.bilibili.com/video/BV1Zm411z7GC,阳桃SunOfPeach,2594412,2813,12354,222954,4750,37615,264
广东人是怎么过清明节的？,https://www.bilibili.com/video/BV1uC411L7gg,粤知一二,3418217,3194,4491,366712,4848,29014,264
【宋雨琦】- 'Could It Be' M/V,https://www.bilibili.com/video/BV1R1421272v,GIDLE_official,1711308,7495,86322,148655,23162,71626,264
一把伞10万，车标24万？劳斯莱斯凭什么这么贵？【阿Test正经比比】,https://www.bilibili.com/video/BV1Jm411B7Rt,阿Test正经比比,809782,2456,2178,18781,4124,6452,264
自从有了小孩，我的疑问不断。,https://www.bilibili.com/video/BV1vH4y1T7Nd,papi酱,2846987,972,19618,333851,12976,14504,264
连自己老婆都不认识！还敢说你爱她？,https://www.bilibili.com/video/BV13J4m1V73k,凉风Kaze,1287142,3203,38765,112146,5546,28012,264
你是否也曾想过环游世界？,https://www.bilibili.com/video/BV1Cm421E7iP,修车师傅-猫哥力,644781,2278,35482,48216,6896,16032,264
极致4D电竞房！4090车载电脑，自带0℃制冷畅玩3A大作！【科技达】,https://www.bilibili.com/video/BV1yf421o7cX,苏打baka,1399343,2073,34797,63924,3750,8237,264
吃鱼天花板,https://www.bilibili.com/video/BV1zJ4m157Qz,小傲想睡觉,3241365,18216,61037,179470,2049,50643,264
国产仙侠，死于仙凡鄙视链 | 从《天外飞仙》谈高级仙侠的be美学,https://www.bilibili.com/video/BV1DF4m1K7L6,香芹又青了,1118882,4038,26187,63538,5023,18919,264
